epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,757.294,0.61846,0.49414,0.98162,0.94079,0.97125,0.96141,0.82476,0.65658,0.44916,0.98121,0.000263978,0.000263978,0.000263978
71,763.749,0.63467,0.54471,1.00553,0.9241,0.93029,0.95147,0.80361,0.58138,0.48154,0.94194,0.000255731,0.000255731,0.000255731
72,770.284,0.60131,0.49728,0.9876,0.9233,0.95906,0.96267,0.82053,0.57483,0.44075,0.94353,0.000247484,0.000247484,0.000247484
73,776.986,0.59533,0.48935,0.98112,0.90466,0.96434,0.95275,0.8116,0.60497,0.50748,0.98966,0.000239238,0.000239238,0.000239238
74,783.485,0.61657,0.48467,1.00321,0.89888,0.94653,0.95131,0.81548,0.61293,0.47789,0.9783,0.000230991,0.000230991,0.000230991
75,789.978,0.6035,0.4999,0.98145,0.93488,0.91795,0.94599,0.81195,0.61292,0.48572,0.95928,0.000222744,0.000222744,0.000222744
76,796.487,0.60117,0.48611,0.98562,0.93956,0.94192,0.96385,0.82887,0.58698,0.41364,0.95888,0.000214497,0.000214497,0.000214497
77,803.024,0.61671,0.50597,0.9991,0.94097,0.93029,0.96502,0.82086,0.60704,0.41696,0.95736,0.000206251,0.000206251,0.000206251
78,809.64,0.59248,0.47641,0.98763,0.92901,0.94831,0.95337,0.82282,0.56517,0.42792,0.9499,0.000198004,0.000198004,0.000198004
79,816.692,0.59638,0.4715,0.99483,0.94152,0.96449,0.9597,0.82482,0.56919,0.40212,0.93582,0.000189757,0.000189757,0.000189757
80,823.382,0.58914,0.46966,0.98341,0.9236,0.94961,0.95782,0.82212,0.59061,0.43716,0.95138,0.000181511,0.000181511,0.000181511
81,829.784,0.56956,0.4594,0.97975,0.93122,0.93376,0.9637,0.83048,0.58331,0.44344,0.93851,0.000173264,0.000173264,0.000173264
82,836.18,0.57338,0.48222,0.98355,0.92149,0.93207,0.95065,0.82556,0.59077,0.43792,0.95393,0.000165017,0.000165017,0.000165017
83,842.495,0.5703,0.46485,0.97246,0.93276,0.92081,0.95497,0.81292,0.59422,0.44214,0.95337,0.000156771,0.000156771,0.000156771
84,848.875,0.57123,0.47093,0.98357,0.9169,0.95964,0.9574,0.82838,0.5872,0.41527,0.94822,0.000148524,0.000148524,0.000148524
85,855.221,0.55415,0.46193,0.9759,0.91477,0.96615,0.96261,0.83069,0.58227,0.4002,0.95198,0.000140277,0.000140277,0.000140277
86,861.548,0.5492,0.44619,0.96153,0.91984,0.97005,0.96016,0.82766,0.58053,0.39237,0.95624,0.000132031,0.000132031,0.000132031
87,867.986,0.54513,0.44562,0.96329,0.90755,0.96573,0.96102,0.83242,0.57187,0.39449,0.94213,0.000123784,0.000123784,0.000123784
88,874.411,0.55915,0.45055,0.96881,0.93073,0.95026,0.95972,0.82627,0.55256,0.38885,0.93442,0.000115537,0.000115537,0.000115537
